2018-05-23 11:46:38 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-23 11:47:15 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56184]
2018-05-23 11:47:28 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-23 11:47:28 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-23 11:47:28 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-23 11:47:28 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-23 11:47:32 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56185]
2018-05-23 11:47:42 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-23 11:47:42 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-23 11:47:42 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-23 11:47:42 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-23 11:47:44 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56186]
2018-05-23 11:47:46 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-23 11:47:46 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-23 11:47:46 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-23 11:47:46 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-23 11:47:47 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56187]
2018-05-23 11:48:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:50:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:52:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:54:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:56:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:58:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:00:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:02:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:03:57 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-23 12:03:57 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-23 12:03:57 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-23 12:03:57 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-23 12:04:03 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56250]
2018-05-23 12:04:09 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-23 12:04:09 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-23 12:04:09 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-23 12:04:09 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-23 12:04:12 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56299]
2018-05-23 12:05:20 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-23 12:05:20 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-23 12:05:20 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-23 12:05:20 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-23 12:05:25 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56359]
2018-05-23 12:05:38 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-23 12:05:38 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-23 12:05:38 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-23 12:05:38 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-23 12:05:43 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56462]
2018-05-23 12:07:46 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:09:46 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:11:46 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:13:46 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:13:52 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-23 12:13:52 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-23 12:13:52 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-23 12:13:52 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-23 12:13:57 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56557]
2018-05-23 12:14:41 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-05-23 12:16:00 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:18:00 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:20:00 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:22:00 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:24:00 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:26:00 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:28:00 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:30:00 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:32:00 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:36:32 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:36:32 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:38:00 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 12:38:19 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-23 12:38:19 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-23 12:38:19 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-23 12:38:19 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-23 12:42:47 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56695]
2018-05-23 12:42:47 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
