2018-06-19 13:25:49 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:25:49 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:33:51 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:51988]
2018-06-19 13:33:51 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:34:18 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:34:18 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:34:18 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:34:18 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:34:29 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:52023]
2018-06-19 13:34:29 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:34:46 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:34:46 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:34:46 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:34:46 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:34:58 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:52059]
2018-06-19 13:34:58 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:36:12 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:36:12 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:36:12 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:36:12 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:37:53 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:61018]
2018-06-19 13:37:54 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:37:54 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:37:54 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-06-19 13:37:54 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-06-19 13:37:54 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:61020]
2018-06-19 13:37:54 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:37:54 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:37:54 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:37:54 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:37:54 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:37:55 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:61021]
2018-06-19 13:37:55 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:38:08 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:38:08 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:38:08 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:38:08 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:38:14 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:61036]
2018-06-19 13:38:14 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:38:17 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:38:17 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:38:17 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:38:17 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:38:35 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:61041]
2018-06-19 13:38:35 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:39:35 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 13:39:35 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 13:39:35 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 13:39:35 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 13:39:41 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:61114]
2018-06-19 13:39:41 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 13:40:28 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
