2018-06-18 00:50:12 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:50:35 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:50:35 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:50:35 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:50:35 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:50:42 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63586]
2018-06-18 00:50:42 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:50:45 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:50:45 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:50:45 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:50:45 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:55:01 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63683]
2018-06-18 00:55:01 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:55:05 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:55:05 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:55:05 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:55:05 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:55:42 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63752]
2018-06-18 00:55:42 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:55:49 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:55:49 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:55:49 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:55:49 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:55:56 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63821]
2018-06-18 00:55:56 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:57:30 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:57:30 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:57:30 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:57:30 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:57:45 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63947]
2018-06-18 00:57:45 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:58:17 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:58:17 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:58:17 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:58:17 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:58:24 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64070]
2018-06-18 00:58:24 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 01:00:25 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 01:02:26 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 01:04:26 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 01:06:25 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 01:06:36 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 01:06:36 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 01:06:36 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 01:06:36 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 01:06:44 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64163]
2018-06-18 01:06:44 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 01:08:45 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 01:08:56 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 01:08:56 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 01:08:56 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 01:08:56 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 01:09:02 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64225]
2018-06-18 01:09:02 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 01:10:02 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 01:10:02 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 01:10:02 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 01:10:02 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 01:10:09 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64304]
2018-06-18 01:10:09 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 01:10:23 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 01:10:23 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 01:10:23 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 01:10:23 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 01:10:29 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64376]
2018-06-18 01:10:29 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 01:11:02 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 01:11:02 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 01:11:02 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 01:11:02 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 01:11:51 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64475]
2018-06-18 01:11:51 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 01:13:22 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 01:13:22 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 01:13:22 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 01:13:22 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 01:13:33 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64551]
2018-06-18 01:13:33 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 01:13:55 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 01:13:55 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 01:13:55 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 01:13:55 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 01:14:01 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64609]
