2018-06-10 00:25:11 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:25:11 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:25:11 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:25:11 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:27:03 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51646]
2018-06-10 00:27:03 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:27:06 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:27:06 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:27:06 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:27:06 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:27:08 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51647]
2018-06-10 00:27:08 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:27:10 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:27:10 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:27:10 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:27:10 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:27:12 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51648]
2018-06-10 00:27:12 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:27:13 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:27:13 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:27:13 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:27:13 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:27:15 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51649]
2018-06-10 00:30:58 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:30:58 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:30:58 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-06-10 00:30:58 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-06-10 00:31:11 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51691]
2018-06-10 00:31:11 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:31:17 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:31:17 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:31:17 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:31:17 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:31:18 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51692]
2018-06-10 00:31:18 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:31:19 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:31:19 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:31:19 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:31:19 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:31:21 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51693]
2018-06-10 00:31:21 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:31:22 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:31:22 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:31:22 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
